English,Tamil,Malayalam,Telugu,Hindi
east,கிழக்கு,കിഴക്ക്,తూర్పు,पूर्व
save,சேமிக்க,രക്ഷിക്കും,సేవ్,बचाना
seven,ஏழு,ഏഴ്,ఏడు,सात
artist,கலைஞர்,കലാകാരൻ,కళాకారుడు,कलाकार
scene,காட்சி,രംഗം,దృశ్యం,दृश्य
stock,பங்கு,സംഭരിക്കുക,స్టాక్,भंडार
career,தொழில்,കരിയർ,వృత్తి,आजीविका
despite,இருந்தாலும்,ഉണ്ടായിരുന്നിട്ടും,ఉన్నప్పటికీ,इसके बावजूद
central,மத்திய,കേന്ദ്ര,కేంద్ర,केंद्रीय
eight,எட்டு,എട്ട്,ఎనిమిది,आठ
thus,இதனால்,അങ്ങനെ,ఈ విధంగా,इस प्रकार
treatment,சிகிச்சை,ചികിത്സ,చికిత్స,इलाज
beyond,அப்பால்,അപ്പുറം,దాటి,आगे
happy,சந்தோஷமாக,സന്തോഷം,సంతోషంగా,खुश
exactly,சரியாக,കൃത്യമായി,సరిగ్గా,बिल्कुल
protect,பாதுகாக்க,സംരക്ഷിക്കുക,రక్షించడానికి,रक्षा करना
approach,அணுகுமுறை,സമീപനം,విధానం,दृष्टिकोण
lie,பொய்,കള്ളം,అబద్ధం,झूठ
size,அளவு,വലിപ്പം,పరిమాణం,आकार
dog,நாய்,നായ,కుక్క,कुत्ता
fund,நிதி,ഫണ്ട്,నిధి,निधि
serious,தீவிரமான,ഗുരുതരമായ,తీవ్రమైన,गंभीर
occur,ஏற்படும்,സംഭവിക്കുക,సంభవిస్తాయి,घटित होना
media,ஊடகம்,മാധ്യമങ്ങൾ,మీడియా,मिडिया
ready,தயார்,തയ്യാറാണ്,సిద్ధంగా,तैयार
sign,அடையாளம்,അടയാളം,సంకేతం,संकेत
thought,நினைத்தேன்,ചിന്തിച്ചു,అనుకున్నాడు,सोचा
list,பட்டியல்,പട്ടിക,జాబితా,सूची
individual,தனிப்பட்ட,വ്യക്തി,వ్యక్తిగత,व्यक्ति
simple,எளிய,ലളിതമായ,సాధారణ,सरल
quality,தரம்,ഗുണമേന്മയുള്ള,నాణ్యత,गुणवत्ता
pressure,அழுத்தம்,സമ്മർദ്ദം,ఒత్తిడి,दबाव
accept,ஏற்றுக்கொள்,സ്വീകരിക്കുക,అంగీకరించు,स्वीकार करना
answer,பதில்,ഉത്തരം,సమాధానం,उत्तर
resource,வளம்,വിഭവം,వనరు,संसाधन
identify,அடையாளம்,തിരിച്ചറിയുക,గుర్తించండి,पहचान करना
left,விட்டு,ഇടത്തെ,వదిలేశారు,बाएं
meeting,சந்தித்தல்,യോഗം,సమావేశం,बैठक
determine,தீர்மானிக்க,നിർണ്ണയിക്കുക,గుర్తించడానికి,ठानना
prepare,தயார்,തയ്യാറാക്കുക,సిద్ధం,तैयार करना
disease,நோய்,രോഗം,వ్యాధి,बीमारी
whatever,எதுவாக,എന്തുതന്നെയായാലും,ఏదో ఒకటి,जो कुछ भी
success,வெற்றி,വിജയം,విజయం,सफलता
argue,வாதிடுகின்றனர்,വാദിക്കുക,వాదిస్తారు,बहस
cup,கோப்பை,കപ്പ്,కప్పు,कप
particularly,குறிப்பாக,പ്രത്യേകിച്ച്,ముఖ్యంగా,विशेष रूप से
amount,தொகை,തുക,మొత్తం,मात्रा
ability,திறன்,കഴിവ്,సామర్థ్యం,क्षमता
staff,ஊழியர்கள்,സ്റ്റാഫ്,సిబ్బంది,कर्मचारी
recognize,அடையாளம் கண்டு கொள்,തിരിച്ചറിയുക,గుర్తించండి,पहचानना
indicate,குறிப்பிடுகின்றன,സൂചിപ്പിക്കുക,సూచిస్తాయి,संकेत देना
character,பாத்திரம்,സ്വഭാവം,పాత్ర,चरित्र
growth,வளர்ச்சி,വളർച്ച,వృద్ధి,विकास
loss,இழப்பு,നഷ്ടം,నష్టం,नुकसान
degree,பட்டம்,ഡിഗ്രി,డిగ్రీ,डिग्री
wonder,ஆச்சரியம்,അത്ഭുതവും,ఆశ్చర్యం,आश्चर्य
attack,தாக்குதல்,ആക്രമണം,దాడి,आक्रमण करना
herself,தன்னை,സ്വയം,ఆమె,खुद
region,பிராந்தியம்,പ്രദേശം,ప్రాంతం,क्षेत्र
television,தொலைக்காட்சி,ടെലിവിഷൻ,టెలివిజన్,टेलीविजन
box,பெட்டி,പെട്ടി,పెట్టె,डिब्बा
TV,டி.வி,ടി.വി,టీవీ,टीवी
training,பயிற்சி,പരിശീലനം,శిక్షణ,प्रशिक्षण
pretty,அழகான,സുന്ദരി,చక్కని,सुंदर
trade,வர்த்தகம்,വ്യാപാരം,వాణిజ్యం,व्यापार
election,தேர்தல்,തിരഞ്ഞെടുപ്പ്,ఎన్నికల,चुनाव
everybody,அனைவரும்,എല്ലാവരും,అందరూ,हर कोई
physical,உடல்,ശാരീരികമായ,భౌతిక,भौतिक
lay,இடுகின்றன,കിടന്നു,లే,बिछाना
general,பொது,പൊതുവായ,సాధారణ,सामान्य
feeling,உணர்வு,തോന്നൽ,భావన,अनुभूति
standard,தரநிலை,സ്റ്റാൻഡേർഡ്,ప్రమాణం,मानक
bill,ர சி து,ബിൽ,బిల్లు,बिल
message,செய்தி,സന്ദേശം,సందేశం,संदेश
fail,தோல்வி,പരാജയപ്പെടുന്നു,విఫలం,असफल
outside,வெளியே,പുറത്ത്,బయట,बाहर
arrive,வந்து சேரும்,എത്തിച്ചേരുന്നു,చేరుకుంటారు,आना
analysis,பகுப்பாய்வு,വിശകലനം,విశ్లేషణ,विश्लेषण
benefit,நன்மை,പ്രയോജനം,ప్రయోజనం,फ़ायदा
sex,செக்ஸ்,ലൈംഗികത,సెక్స్,लिंग
forward,முன்னோக்கி,മുന്നോട്ട്,ముందుకు,आगे
lawyer,வழக்கறிஞர்,അഭിഭാഷകൻ,న్యాయవాది,वकील
present,தற்போது,വർത്തമാന,ప్రస్తుతం,उपस्थित
section,பிரிவு,വിഭാഗം,విభాగం,अनुभाग
environmental,சுற்றுச்சூழல்,പരിസ്ഥിതി,పర్యావరణ,पर्यावरण
glass,கண்ணாடி,ഗ്ലാസ്,గాజు,काँच
skill,திறமை,വൈദഗ്ധ്യം,నైపుణ్యం,कौशल
sister,சகோதரி,സഹോദരി,సోదరి,बहन
PM,மாலை,പി.എം,PM,बजे
professor,பேராசிரியர்,പ്രൊഫസർ,ప్రొఫెసర్,प्रोफ़ेसर
operation,அறுவை சிகிச்சை,ഓപ്പറേഷൻ,ఆపరేషన్,संचालन
financial,நிதி,സാമ്പത്തിക,ఆర్థిక,वित्तीय
crime,குற்றம்,കുറ്റകൃത്യം,నేరం,अपराध
stage,மேடை,സ്റ്റേജ്,వేదిక,अवस्था
ok,சரி,ശരി,అలాగే,ठीक है
compare,ஒப்பிடு,താരതമ്യം ചെയ്യുക,సరిపోల్చండి,तुलना करना
authority,அதிகாரம்,അധികാരം,అధికారం,अधिकार
miss,செல்வி,ഉന്നംതെറ്റുക,మిస్,याद
design,வடிவமைப்பு,ഡിസൈൻ,రూపకల్పన,डिज़ाइन
sort,வகைபடுத்து,അടുക്കുക,క్రమబద్ధీకరించు,क्रम से लगाना
act,நாடகம்,പ്രവർത്തിക്കുക,చట్టం,कार्य
ten,பத்து,പത്ത്,పది,दस
knowledge,அறிவு,അറിവ്,జ్ఞానం,ज्ञान
gun,துப்பாக்கி,തോക്ക്,తుపాకీ,बंदूक
station,நிலையம்,സ്റ്റേഷൻ,స్టేషన్,स्टेशन
blue,நீலம்,നീല,నీలం,नीला
strategy,மூலோபாயம்,തന്ത്രം,వ్యూహం,रणनीति
clearly,தெளிவாக,വ്യക്തമായി,స్పష్టంగా,स्पष्ट रूप से
discuss,விவாதிக்க,ചർച്ച ചെയ്യുക,చర్చించండి,चर्चा करना
indeed,உண்மையில்,തീർച്ചയായും,నిజానికి,वास्तव में
truth,உண்மை,സത്യം,నిజం,सच
song,பாடல்,പാട്ട്,పాట,गाना
example,உதாரணமாக,ഉദാഹരണം,ఉదాహరణ,उदाहरण
democratic,ஜனநாயக,ജനാധിപത്യപരമായ,ప్రజాస్వామికమైనది,लोकतांत्रिक
check,காசோலை,ചെക്ക്,తనిఖీ,जाँच करना
environment,சூழல்,പരിസ്ഥിതി,పర్యావరణం,पर्यावरण
leg,கால்,കാല്,కాలు,टांग
dark,இருள்,ഇരുണ്ട്,చీకటి,अँधेरा
various,பல்வேறு,വിവിധ,వివిధ,विभिन्न
rather,மாறாக,മറിച്ച്,కాకుండా,की अपेक्षा
laugh,சிரிக்கவும்,ചിരിക്കുക,నవ్వు,हँसना
guess,யூகிக்கவும்,ഊഹിക്കുക,అంచనా,अनुमान
executive,நிர்வாகி,എക്സിക്യൂട്ടീവ്,కార్యనిర్వాహకుడు,कार्यकारिणी
prove,நிரூபிக்க,തെളിയിക്കുക,నిరూపించండి,सिद्ध करना
hang,தொங்கும்,തൂക്കിയിടുക,వేలాడదీయండి,लटकाना
entire,முழு,മുഴുവൻ,మొత్తం,पूरा
rock,பாறை,പാറ,శిల,चट्टान
forget,மறந்துவிடு,മറക്കരുത്,మర్చిపోతారు,भूल जाओ
claim,கூற்று,അവകാശം,దావా,दावा
remove,அகற்று,നീക്കം ചെയ്യുക,తొలగించు,निकालना
manager,மேலாளர்,മാനേജർ,నిర్వాహకుడు,प्रबंधक
enjoy,அனுபவிக்க,ആസ്വദിക്കൂ,ఆనందించండి,आनंद लेना
network,வலைப்பின்னல்,നെറ്റ്വർക്ക്,నెట్వర్క్,नेटवर्क
legal,சட்டபூர்வமான,നിയമപരമായ,చట్టపరమైన,कानूनी
religious,மத,മതപരമായ,మతపరమైన,धार्मिक
cold,குளிர்,തണുപ്പ്,చల్లని,ठंडा
final,இறுதி,ഫൈനൽ,చివరి,अंतिम
main,முக்கிய,പ്രധാനം,ప్రధాన,मुख्य
science,அறிவியல்,ശാസ്ത്രം,సైన్స్,विज्ञान
green,பச்சை,പച്ച,ఆకుపచ్చ,हरा
memory,நினைவு,ഓർമ്മ,జ్ఞాపకశక్తి,याद
card,அட்டை,കാർഡ്,కార్డు,कार्ड
above,மேலே,മുകളിൽ,పైన,ऊपर
seat,இருக்கை,ഇരിപ്പിടം,సీటు,सीट
cell,செல்,സെൽ,సెల్,कक्ष
establish,நிறுவ,സ്ഥാപിക്കുക,ఏర్పాటు,स्थापित करना
nice,நல்ல,കൊള്ളാം,బాగుంది,अच्छा
trial,விசாரணை,വിചാരണ,విచారణ,परीक्षण
expert,நிபுணர்,വിദഗ്ധൻ,నిపుణుడు,विशेषज्ञ
spring,வசந்த,സ്പ്രിംഗ്,వసంత,वसंत
firm,நிறுவனம்,ഉറച്ച,దృఢమైన,अटल
Democrat,ஜனநாயகவாதி,ഡെമോക്രാറ്റ്,ప్రజాస్వామ్యవాది,प्रजातंत्रवादी
radio,வானொலி,റേഡിയോ,రేడియో,रेडियो
visit,வருகை,സന്ദർശിക്കുക,సందర్శించండి,मिलने जाना
management,மேலாண்மை,മാനേജ്മെന്റ്,నిర్వహణ,प्रबंध
avoid,தவிர்க்க,ഒഴിവാക്കുക,నివారించండి,टालना
imagine,கற்பனை,സങ്കൽപ്പിക്കുക,ఊహించుకోండి,कल्पना करना
tonight,இன்றிரவு,ഇന്ന് രാത്രി,ఈరాత్రి,आज रात
huge,மிகப்பெரிய,വൻ,భారీ,विशाल
ball,பந்து,പന്ത്,బంతి,गेंद
finish,முடிக்க,പൂർത്തിയാക്കുക,పూర్తి,खत्म करना
yourself,நீங்களே,സ്വയം,మీరే,अपने आप को
theory,கோட்பாடு,സിദ്ധാന്തം,సిద్ధాంతం,लिखित
impact,தாக்கம்,സ്വാധീനം,ప్రభావం,प्रभाव
respond,பதில்,പ്രതികരിക്കുക,స్పందించండి,जवाब देना
statement,அறிக்கை,പ്രസ്താവന,ప్రకటన,कथन
maintain,பராமரிக்க,പരിപാലിക്കുക,నిర్వహించండి,बनाए रखना
charge,கட்டணம்,ഈടാക്കുക,ఆరోపణ,शुल्क
popular,பிரபலமான,ജനകീയമായ,జనాదరణ పొందినది,लोकप्रिय
traditional,பாரம்பரியமானது,പരമ്പരാഗത,సంప్రదాయకమైన,परंपरागत
onto,மீது,ലേക്ക്,పై,पर
reveal,வெளிப்படுத்த,വെളിപ്പെടുത്തുക,బహిర్గతం,प्रकट करना
direction,திசையில்,സംവിധാനം,దిశ,दिशा
weapon,ஆயுதம்,ആയുധം,ఆయుధం,हथियार
employee,பணியாளர்,ജീവനക്കാരൻ,ఉద్యోగి,कर्मचारी
cultural,கலாச்சார,സാംസ്കാരിക,సాంస్కృతిక,सांस्कृतिक
contain,கொண்டிருக்கும்,അടങ്ങിയിട്ടുണ്ട്,కలిగి,रोकना
peace,சமாதானம்,സമാധാനം,శాంతి,शांति
pain,வலி,വേദന,నొప్పి,दर्द
apply,விண்ணப்பிக்க,പ്രയോഗിക്കുക,దరఖాస్తు,आवेदन करना
measure,அளவீடு,അളവ്,కొలత,उपाय
wide,பரந்த,വിശാലമായ,వెడల్పు,चौड़ा
shake,குலுக்கல்,കുലുക്കുക,వణుకు,हिलाना
fly,ஈ,പറക്കുക,ఎగురు,उड़ना
interview,நேர்காணல்,അഭിമുഖം,ఇంటర్వ్యూ,साक्षात्कार
manage,நிர்வகிக்க,കൈകാര്യം ചെയ്യുക,నిర్వహించడానికి,प्रबंधित करना
chair,நாற்காலி,കസേര,కుర్చీ,कुर्सी
fish,மீன்,മത്സ്യം,చేప,मछली
particular,குறிப்பாக,പ്രത്യേക,ప్రత్యేకంగా,विशिष्ट
camera,புகைப்பட கருவி,ക്യാമറ,కెమెరా,कैमरा
structure,கட்டமைப்பு,ഘടന,నిర్మాణం,संरचना
politics,அரசியல்,രാഷ്ട്രീയം,రాజకీయాలు,राजनीति
perform,நிகழ்த்து,നിർവഹിക്കുക,నిర్వహిస్తారు,अभिनय करना
bit,பிட்,ബിറ്റ്,బిట్,अंश
weight,எடை,ഭാരം,బరువు,वज़न
suddenly,திடீரென்று,പെട്ടെന്ന്,అకస్మాత్తుగా,अचानक
discover,கண்டுபிடிக்க,കണ്ടെത്തുക,కనుగొనండి,खोज करना
candidate,வேட்பாளர்,സ്ഥാനാർത്ഥി,అభ్యర్థి,उम्मीदवार
production,உற்பத்தி,ഉത്പാദനം,ఉత్పత్తి,उत्पादन
treat,சிகிச்சை,ചികിത്സിക്കുക,చికిత్స,इलाज
trip,பயணம்,യാത്ര,యాత్ర,यात्रा
evening,சாயங்காலம்,വൈകുന്നേരം,సాయంత్రం,शाम
affect,பாதிக்கும்,ബാധിക്കുക,ప్రభావితం చేస్తాయి,चाहना
inside,உள்ளே,അകത്ത്,లోపల,अंदर
conference,மாநாடு,സമ്മേളനം,సమావేశం,सम्मेलन
unit,அலகு,യൂണിറ്റ്,యూనిట్,इकाई
style,பாணி,ശൈലി,శైలి,शैली
adult,வயது வந்தோர்,മുതിർന്നവർ,పెద్దలు,वयस्क
worry,கவலை,വിഷമിക്കുക,ఆందోళన,चिंता
range,சரகம்,പരിധി,పరిధి,श्रेणी
mention,குறிப்பிடவும்,പരാമർശിക്കുക,ప్రస్తావన,उल्लेख
deep,ஆழமான,ആഴമുള്ള,లోతైన,गहरा
edge,விளிம்பு,അറ്റം,అంచు,किनारा
specific,குறிப்பிட்ட,നിർദ്ദിഷ്ട,నిర్దిష్ట,विशिष्ट
writer,எழுத்தாளர்,എഴുത്തുകാരൻ,రచయిత,लेखक
trouble,பிரச்சனை,കുഴപ്പം,ఇబ్బంది,मुश्किल
necessary,தேவையான,ആവശ്യമായ,అవసరమైన,ज़रूरी
throughout,முழுவதும்,ഉടനീളം,అంతటా,लगातार
challenge,சவால்,വെല്ലുവിളി,సవాలు,चुनौती
fear,பயம்,പേടി,భయం,डर
shoulder,தோள்பட்டை,തോൾ,భుజం,कंधा
institution,நிறுவனம்,സ്ഥാപനം,సంస్థ,संस्थान
middle,நடுத்தர,മധ്യഭാഗം,మధ్య,मध्य
sea,கடல்,കടൽ,సముద్రం,समुद्र
dream,கனவு,സ്വപ്നം,కల,सपना
bar,மதுக்கூடம்,ബാർ,బార్,छड़
beautiful,அழகு,മനോഹരം,అందమైన,सुंदर
property,சொத்து,സ്വത്ത്,ఆస్తి,संपत्ति
instead,பதிலாக,പകരം,బదులుగా,बजाय
improve,மேம்படுத்த,മെച്ചപ്പെടുത്തുക,మెరుగు,सुधार
stuff,பொருட்களை,സാധനങ്ങൾ,విషయం,सामग्री
detail,விவரம்,വിശദാംശം,వివరాలు,विवरण
method,முறை,രീതി,పద్ధతి,तरीका
somebody,யாரோ,ഏതോഒരാള്,ఎవరైనా,कोई व्यक्ति
magazine,இதழ்,മാസിക,పత్రిక,पत्रिका
hotel,ஹோட்டல்,ഹോട്ടൽ,హోటల్,होटल
soldier,சிப்பாய்,പട്ടാളക്കാരൻ,సైనికుడు,सैनिक
reflect,பிரதிபலிக்கின்றன,പ്രതിഫലിപ്പിക്കുക,ప్రతిబింబిస్తాయి,प्रतिबिंबित होना
heavy,கனமான,കനത്ത,భారీ,भारी
sexual,பாலியல்,ലൈംഗികത,లైంగిక,यौन
bag,பை,ബാഗ്,సంచి,थैला
heat,வெப்பம்,ചൂട്,వేడి,गर्मी
marriage,திருமணம்,വിവാഹം,వివాహం,शादी
tough,கடினமான,കഠിനമായ,కఠినమైన,कठिन
sing,பாட,പാടുക,పాడతారు,गाओ
surface,மேற்பரப்பு,ഉപരിതലം,ఉపరితల,सतह
purpose,நோக்கம்,ഉദ്ദേശ്യം,ప్రయోజనం,उद्देश्य
exist,உள்ளன,നിലവിലുണ്ട്,ఉనికిలో ఉన్నాయి,अस्तित्व
pattern,முறை,മാതൃക,నమూనా,नमूना
whom,யாரை,ആരെ,ఎవరిని,किसको
skin,தோல்,തൊലി,చర్మం,त्वचा
agent,முகவர்,ഏജന്റ്,ఏజెంట్,प्रतिनिधि
owner,உரிமையாளர்,ഉടമ,యజమాని,मालिक
machine,இயந்திரம்,യന്ത്രം,యంత్రం,मशीन
gas,வாயு,വാതകം,వాయువు,गैस
ahead,முன்னால்,മുന്നോട്ട്,ముందుకు,आगे
generation,தலைமுறை,തലമുറ,తరం,पीढ़ी
commercial,வணிக,വാണിജ്യ,వాణిజ్య,व्यावसायिक
address,முகவரி,വിലാസം,చిరునామా,पता
cancer,புற்றுநோய்,കാൻസർ,క్యాన్సర్,कैंसर
item,பொருள்,ഇനം,అంశం,वस्तु
reality,யதார்த்தம்,യാഥാർത്ഥ്യം,వాస్తవికత,वास्तविकता
coach,பயிற்சியாளர்,പരിശീലകൻ,రైలు పెట్టె,प्रशिक्षक
Mrs,திருமதி,മിസിസ്,శ్రీమతి,श्रीमती
yard,முற்றம்,മുറ്റം,యార్డ్,यार्ड
beat,அடி,അടിക്കുന്നു,కొట్టారు,मारो
violence,வன்முறை,അക്രമം,హింస,हिंसा
total,மொத்தம்,ആകെ,మొత్తం,कुल
tend,போக்கு,പ്രവണത,మొగ్గు,झुकाव होना
investment,முதலீடு,നിക്ഷേപം,పెట్టుబడి,निवेश
discussion,விவாதம்,ചർച്ച,చర్చ,बहस
finger,விரல்,വിരല്,వేలు,उँगलिया
garden,தோட்டம்,തോട്ടം,తోట,बगीचा
notice,அறிவிப்பு,നോട്ടീസ്,నోటీసు,सूचना
collection,சேகரிப்பு,സമാഹാരം,సేకరణ,संग्रह
modern,நவீன,ആധുനികമായ,ఆధునిక,आधुनिक
task,பணி,ചുമതല,పని,काम
partner,பங்குதாரர்,പങ്കാളി,భాగస్వామి,साथी
positive,நேர்மறை,പോസിറ്റീവ്,అనుకూల,सकारात्मक
civil,சிவில்,സിവിൽ,పౌర,नागरिक
kitchen,சமையலறை,അടുക്കള,వంటగది,रसोईघर
consumer,நுகர்வோர்,ഉപഭോക്താവ്,వినియోగదారుడు,उपभोक्ता
shot,சுடப்பட்டது,വെടിവച്ചു,కాల్చారు,गोली मारना
budget,பட்ஜெட்,ബജറ്റ്,బడ్జెట్,बजट
wish,விரும்பும்,ആഗ്രഹിക്കുക,కోరిక,इच्छा
painting,ஓவியம்,പെയിന്റിംഗ്,పెయింటింగ్,चित्रकारी
scientist,விஞ்ஞானி,ശാസ്ത്രജ്ഞൻ,శాస్త్రవేత్త,वैज्ञानिक
safe,பாதுகாப்பான,സുരക്ഷിതം,సురక్షితం,सुरक्षित
agreement,உடன்படிக்கை,കരാർ,ఒప్పందం,समझौता
capital,மூலதனம்,മൂലധനം,రాజధాని,पूंजी
mouth,வாய்,വായ,నోరు,मुँह
nor,அல்லது இல்லை,അല്ല,లేదా,और न
victim,பாதிக்கப்பட்ட,ഇര,బాధితుడు,पीड़ित
newspaper,செய்தித்தாள்,പത്രം,వార్తాపత్రిక,अखबार
threat,அச்சுறுத்தல்,ഭീഷണി,బెదిరింపు,धमकी
responsibility,பொறுப்பு,ഉത്തരവാദിത്തം,బాధ్యత,ज़िम्मेदारी
smile,புன்னகை,പുഞ്ചിരി,చిరునవ్వు,मुस्कान
attorney,வழக்கறிஞர்,അഭിഭാഷകൻ,న్యాయవాది,प्रतिनिधि
score,மதிப்பெண்,സ്കോർ,స్కోర్,अंक
account,கணக்கு,അക്കൗണ്ട്,ఖాతా,खाता
interesting,சுவாரஸ்யமான,രസകരമായ,ఆసక్తికరమైన,दिलचस्प
audience,பார்வையாளர்கள்,പ്രേക്ഷകർ,ప్రేక్షకులు,श्रोता
rich,பணக்கார,സമ്പന്നമായ,ధనవంతుడు,अमीर
dinner,இரவு உணவு,അത്താഴം,విందు,रात का खाना
vote,வாக்கு,വോട്ട്,ఓటు,वोट
western,மேற்கு,പടിഞ്ഞാറൻ,పశ్చిమ,वेस्टर्न
relate,தொடர்பு,ബന്ധപ്പെടുത്തുക,సంబంధం,संबंधित
travel,பயணம்,യാത്ര,ప్రయాణం,यात्रा
debate,விவாதம்,സംവാദം,చర్చ,बहस
prevent,தடுக்க,തടയാൻ,నిరోధిస్తాయి,रोकना
citizen,குடிமகன்,പൗരൻ,పౌరుడు,नागरिक
majority,பெரும்பான்மை,ഭൂരിപക്ഷം,మెజారిటీ,बहुमत
none,எதுவும் இல்லை,ഒന്നുമില്ല,ఏదీ లేదు,कोई नहीं
front,முன்,മുന്നിൽ,ముందు,सामने
born,பிறந்தார்,ജനിച്ചത്,పుట్టింది,जन्म
admit,ஒப்புக்கொள்,സമ്മതിക്കുക,ఒప్పుకుంటారు,स्वीकार करते हैं
senior,மூத்தவர்,മുതിർന്ന,సీనియర్,वरिष्ठ
assume,கருதுகின்றனர்,അനുമാനിക്കുക,ఊహిస్తారు,मान लीजिए
wind,காற்று,കാറ്റ്,గాలి,हवा
key,முக்கிய,താക്കോൽ,కీ,चाबी
professional,தொழில்முறை,പ്രൊഫഷണൽ,వృత్తిపరమైన,पेशेवर
mission,பணி,ദൗത്യം,మిషన్,उद्देश्य
fast,வேகமாக,വേഗം,వేగంగా,तेज़
alone,தனியாக,ഒറ്റയ്ക്ക്,ఒంటరిగా,अकेला
customer,வாடிக்கையாளர்,ഉപഭോക്താവ്,కస్టమర్,ग्राहक
suffer,பாதிப்பு,സഹിക്കുന്നു,బాధపడతారు,पीड़ित
speech,பேச்சு,പ്രസംഗം,ప్రసంగం,भाषण
successful,வெற்றிகரமான,വിജയിച്ചു,విజయవంతమైంది,सफल
option,விருப்பம்,ഓപ്ഷൻ,ఎంపిక,विकल्प
participant,பங்கேற்பாளராக,പങ്കാളി,పాల్గొనేవాడు,प्रतिभागी
southern,தெற்கு,തെക്കൻ,దక్షిణాది,दक्षिण
fresh,புதியது,പുതിയത്,తాజా,ताजा
eventually,இறுதியில்,ഒടുവിൽ,చివరికి,अंततः
forest,காடு,വനം,అడవి,जंगल
video,காணொளி,വീഡിയോ,వీడియో,वीडियो
global,உலகளாவிய,ആഗോള,ప్రపంచ,वैश्विक
Senate,செனட்,സെനറ്റ്,సెనేట్,प्रबंधकारिणी समिति
reform,சீர்திருத்தம்,പുനഃസംഘടന,సంస్కరణ,सुधार
access,அணுகல்,പ്രവേശനം,యాక్సెస్,पहुँच
restaurant,உணவகம்,ഭക്ഷണശാല,రెస్టారెంట్,रेस्टोरेंट
judge,நீதிபதி,ജഡ്ജി,న్యాయమూర్తి,न्यायाधीश
publish,வெளியிட,പ്രസിദ്ധീകരിക്കുക,ప్రచురించండి,प्रकाशित
relation,உறவு,ബന്ധം,సంబంధం,रिश्ता
release,விடுதலை,പ്രകാശനം,విడుదల,मुक्त करना
bird,பறவை,പക്ഷി,పక్షి,चिड़िया
opinion,கருத்து,അഭിപ്രായം,అభిప్రాయం,राय
credit,கடன்,ക്രെഡിറ്റ്,క్రెడిట్,श्रेय
critical,முக்கியமான,വിമർശനാത്മകം,క్లిష్టమైన,गंभीर
corner,மூலையில்,മൂല,మూలలో,कोना
concerned,சம்பந்தப்பட்ட,ആശങ്കപ്പെട്ടു,సంబంధిత,संबंधित
recall,நினைவு,തിരിച്ചുവിളിക്കുക,రీకాల్,याद करना
version,பதிப்பு,പതിപ്പ്,పద్యాలు,संस्करण
stare,முறைத்துப் பார்,തുറിച്ചു നോക്കുക,తదేకంగా చూడు,एकटक देखना
safety,பாதுகாப்பு,സുരക്ഷ,భద్రత,सुरक्षा
effective,பயனுள்ள,ഫലപ്രദമായ,సమర్థవంతమైన,असरदार
neighborhood,அக்கம்,അയൽപ്പക്കം,పొరుగు,अड़ोस-पड़ोस
original,அசல்,ഒറിജിനൽ,అసలు,मूल
troop,படை,സേന,దళం,सेना
income,வருமானம்,വരുമാനം,ఆదాయం,आय
directly,நேரடியாக,നേരിട്ട്,నేరుగా,सीधे
hurt,காயப்படுத்தியது,വേദനിപ്പിച്ചു,బాధించింది,आहत
species,இனங்கள்,സ്പീഷീസ്,జాతులు,प्रजातियाँ
immediately,உடனடியாக,ഉടനെ,తక్షణమే,तुरंत
track,தடம்,ട്രാക്ക്,ట్రాక్,रास्ता
basic,அடிப்படை,അടിസ്ഥാന,ప్రాథమిక,बुनियादी
strike,வேலைநிறுத்தம்,സമരം,సమ్మె,हड़ताल
sky,வானம்,ആകാശം,ఆకాశం,आकाश
freedom,சுதந்திரம்,സ്വാതന്ത്ര്യം,స్వేచ్ఛ,स्वतंत्रता
absolutely,முற்றிலும்,തികച്ചും,ఖచ్చితంగా,बिल्कुल
plane,விமானம்,വിമാനം,విమానం,विमान
nobody,யாரும் இல்லை,ആരും,ఎవరూ,कोई नहीं
achieve,அடைய,നേടിയെടുക്കാൻ,సాధిస్తారు,प्राप्त करना
object,பொருள்,വസ്തു,వస్తువు,वस्तु
attitude,அணுகுமுறை,മനോഭാവം,వైఖరి,नज़रिया
labor,தொழிலாளர்,അധ്വാനം,శ్రమ,श्रम
refer,பார்க்கவும்,റഫർ ചെയ്യുക,సూచించండి,संदर्भ देना
concept,கருத்து,ആശയം,భావన,अवधारणा
client,வாடிக்கையாளர்,കക്ഷി,క్లయింట్,ग्राहक
powerful,சக்தி வாய்ந்த,ശക്തമായ,శక్తివంతమైన,ताकतवर
perfect,சரியான,തികഞ്ഞ,పరిపూర్ణమైనది,उत्तम
nine,ஒன்பது,ഒമ്പത്,తొమ్మిది,नौ
therefore,எனவே,അതുകൊണ്ടു,అందువలన,इसलिए
conduct,நடத்தை,നടത്തുക,ప్రవర్తన,आचरण
announce,அறிவிக்கின்றன,പ്രഖ്യാപിക്കുക,ప్రకటించండి,की घोषणा
conversation,உரையாடல்,സംഭാഷണം,సంభాషణ,बातचीत
examine,ஆய்வு,പരിശോധിക്കുക,పరిశీలించండి,परीक्षण करना
touch,தொடுதல்,സ്പർശിക്കുക,స్పర్శ,छूना
please,தயவு செய்து,ദയവായി,దయచేసి,कृपया
attend,கலந்துகொள்கின்றனர்,പങ്കെടുക്കുക,హాజరు,भाग लेना
